=== DELTARUNE GC crash log ===
Runner: Executing global init script: gml_GlobalScript_scr_text
Runner: Executing global init script: gml_GlobalScript_scr_textsetup
Runner: Executing global init script: gml_GlobalScript_scr_textsound
Runner: Executing global init script: gml_GlobalScript_scr_texttype
Runner: Executing global init script: gml_GlobalScript_d_make
Runner: Executing global init script: gml_GlobalScript_scr_getmsgno
Runner: Executing global init script: gml_GlobalScript_draw_text_shadow
Runner: Executing global init script: gml_GlobalScript_scr_windowcaption
Runner: Executing global init script: gml_GlobalScript_snd_pitch
Runner: Executing global init script: gml_GlobalScript_snd_volume
Runner: Executing global init script: gml_GlobalScript_mus_volume
Runner: Executing global init script: gml_GlobalScript_snd_is_playing
Runner: Executing global init script: gml_GlobalScript_snd_stop_all
Runner: Executing global init script: gml_GlobalScript_snd_init
Runner: Executing global init script: gml_GlobalScript_snd_free_all
Runner: Executing global init script: gml_GlobalScript_snd_free
Runner: Executing global init script: gml_GlobalScript_snd_pause
Runner: Executing global init script: gml_GlobalScript_snd_resume
Runner: Executing global init script: gml_GlobalScript_mus_loop_ext
Runner: Executing global init script: gml_GlobalScript_mus_play
Runner: Executing global init script: gml_GlobalScript_mus_loop
Runner: Executing global init script: gml_GlobalScript_snd_play
Runner: Executing global init script: gml_GlobalScript_snd_stop
Runner: Executing global init script: gml_GlobalScript_snd_loop
Runner: Executing global init script: gml_GlobalScript_scr_healitemspell
Runner: Executing global init script: gml_GlobalScript_scr_healallitemspell
Runner: Executing global init script: gml_GlobalScript_scr_wincombat
Runner: Executing global init script: gml_GlobalScript_scr_blconskip
Runner: Executing global init script: gml_GlobalScript_scr_enemyblcon
Runner: Executing global init script: gml_GlobalScript_scr_randomtarget
Runner: Executing global init script: gml_GlobalScript_scr_targetall
Runner: Executing global init script: gml_GlobalScript_scr_destroyoutside
Runner: Executing global init script: gml_GlobalScript_scr_ambush
Runner: Executing global init script: gml_GlobalScript_scr_battletext
Runner: Executing global init script: gml_GlobalScript_scr_battletext_default
Runner: Executing global init script: gml_GlobalScript_scr_bullet_inherit
Runner: Executing global init script: gml_GlobalScript_scr_dmgwriter_selfchar
Runner: Executing global init script: gml_GlobalScript_scr_damage
Runner: Executing global init script: gml_GlobalScript_scr_damage_all
Runner: Executing global init script: gml_GlobalScript_scr_damage_all_overworld
Runner: Executing global init script: gml_GlobalScript_scr_dead
Runner: Executing global init script: gml_GlobalScript_scr_gameover
Runner: Executing global init script: gml_GlobalScript_scr_mercyadd
Runner: Executing global init script: gml_GlobalScript_scr_heal
Runner: Executing global init script: gml_GlobalScript_scr_healall
Runner: Executing global init script: gml_GlobalScript_scr_itemcheck
Runner: Executing global init script: gml_GlobalScript_scr_keyitemcheck
Runner: Executing global init script: gml_GlobalScript_scr_weaponcheck_inventory
Runner: Executing global init script: gml_GlobalScript_scr_armorcheck_inventory
Runner: Executing global init script: gml_GlobalScript_scr_itemdesc_oldtype
Runner: Executing global init script: gml_GlobalScript_scr_itemget
Runner: Executing global init script: gml_GlobalScript_scr_keyitemget
Runner: Executing global init script: gml_GlobalScript_scr_keyitemremove
Runner: Executing global init script: gml_GlobalScript_scr_keyitemshift
Runner: Executing global init script: gml_GlobalScript_scr_iteminfo_all
Runner: Executing global init script: gml_GlobalScript_scr_iteminfo_temp
Runner: Executing global init script: gml_GlobalScript_scr_itemname
Runner: Executing global init script: gml_GlobalScript_scr_itemremove
Runner: Executing global init script: gml_GlobalScript_scr_itemshift
Runner: Executing global init script: gml_GlobalScript_scr_itemshift_temp
Runner: Executing global init script: gml_GlobalScript_scr_revive
Runner: Executing global init script: gml_GlobalScript_scr_battlecursor_memory_reset
Runner: Executing global init script: gml_GlobalScript_scr_selectionmatrix
Runner: Executing global init script: gml_GlobalScript_scr_caterpillar_interpolate
Runner: Executing global init script: gml_GlobalScript_scr_unmarkify_caterpillar
Runner: Executing global init script: gml_GlobalScript_scr_markify_caterpillar
Runner: Executing global init script: gml_GlobalScript_scr_caterpillar_facing
Runner: Executing global init script: gml_GlobalScript_scr_getchar
Runner: Executing global init script: gml_GlobalScript_scr_losechar
Runner: Executing global init script: gml_GlobalScript_scr_armorget
Runner: Executing global init script: gml_GlobalScript_scr_armorinfo_all
Runner: Executing global init script: gml_GlobalScript_scr_armorinfo_mine
Runner: Executing global init script: gml_GlobalScript_scr_charbox
Runner: Executing global init script: gml_GlobalScript_scr_charbox_x
Runner: Executing global init script: gml_GlobalScript_scr_healitem
Runner: Executing global init script: gml_GlobalScript_scr_healitem_all
Runner: Executing global init script: gml_GlobalScript_scr_itemcomment
Runner: Executing global init script: gml_GlobalScript_scr_spell_overworld
Runner: Executing global init script: gml_GlobalScript_scr_spellinfo_all
Runner: Executing global init script: gml_GlobalScript_scr_talkroom
Runner: Executing global init script: gml_GlobalScript_scr_weaponget
Runner: Executing global init script: gml_GlobalScript_scr_weaponinfo_all
Runner: Executing global init script: gml_GlobalScript_scr_weaponinfo_mine
Runner: Executing global init script: gml_GlobalScript_scr_dmenu_armor_selection_match
Runner: Executing global init script: gml_GlobalScript_draw_item_icon
Runner: Executing global init script: gml_GlobalScript_scr_actinfo
Runner: Executing global init script: gml_GlobalScript_scr_attackphase
Runner: Executing global init script: gml_GlobalScript_scr_boltcheck
Runner: Executing global init script: gml_GlobalScript_scr_boltcheck_onebutton
Runner: Executing global init script: gml_GlobalScript_scr_charcan
Runner: Executing global init script: gml_GlobalScript_scr_damage_enemy
Runner: Executing global init script: gml_GlobalScript_scr_endcombat
Runner: Executing global init script: gml_GlobalScript_scr_endturn
Runner: Executing global init script: gml_GlobalScript_scr_itemconsumeb
Runner: Executing global init script: gml_GlobalScript_scr_mnendturn
Runner: Executing global init script: gml_GlobalScript_scr_monsterdefeat
Runner: Executing global init script: gml_GlobalScript_scr_monsterpop
Runner: Executing global init script: gml_GlobalScript_scr_moveheart
Runner: Executing global init script: gml_GlobalScript_scr_nexthero
Runner: Executing global init script: gml_GlobalScript_scr_prevhero
Runner: Executing global init script: gml_GlobalScript_scr_retarget
Runner: Executing global init script: gml_GlobalScript_scr_retarget_spell
Runner: Executing global init script: gml_GlobalScript_scr_spellconsumeb
Runner: Executing global init script: gml_GlobalScript_scr_tensionheal
Runner: Executing global init script: gml_GlobalScript_scr_monstersetup
Runner: Executing global init script: gml_GlobalScript_scr_encountersetup
Runner: Executing global init script: gml_GlobalScript_scr_spellinfo
Runner: Executing global init script: gml_GlobalScript_scr_spell
Runner: Executing global init script: gml_GlobalScript_scr_spelltext
Runner: Executing global init script: gml_GlobalScript_scr_keyiteminfo_all
Runner: Executing global init script: gml_GlobalScript_scr_keyiteminfo
Runner: Executing global init script: gml_GlobalScript_scr_iteminfo
Runner: Executing global init script: gml_GlobalScript_scr_itemdesc
Runner: Executing global init script: gml_GlobalScript_scr_itemdesc_b
Runner: Executing global init script: gml_GlobalScript_scr_itemnamelist
Runner: Executing global init script: gml_GlobalScript_scr_itemuse
Runner: Executing global init script: gml_GlobalScript_scr_weaponinfo
Runner: Executing global init script: gml_GlobalScript_scr_armorinfo
Runner: Executing global init script: gml_GlobalScript_scr_minishakeobj
Runner: Executing global init script: gml_GlobalScript_ossafe_savedata_load_old_check
Runner: Executing global init script: gml_GlobalScript_scr_anim
Runner: Executing global init script: gml_GlobalScript_scr_shakeobj
Runner: Executing global init script: gml_GlobalScript_scr_defeatrun
Runner: Executing global init script: gml_GlobalScript_scr_oflash
Runner: Executing global init script: gml_GlobalScript_scr_spareanim
Runner: Executing global init script: gml_GlobalScript_scr_afterimage
Runner: Executing global init script: gml_GlobalScript_scr_susface
Runner: Executing global init script: gml_GlobalScript_scr_ralface
Runner: Executing global init script: gml_GlobalScript_scr_noeface
Runner: Executing global init script: gml_GlobalScript_scr_rudface
Runner: Executing global init script: gml_GlobalScript_scr_torface
Runner: Executing global init script: gml_GlobalScript_scr_asgface
Runner: Executing global init script: gml_GlobalScript_scr_lanface
Runner: Executing global init script: gml_GlobalScript_scr_kingface
Runner: Executing global init script: gml_GlobalScript_scr_noface
Runner: Executing global init script: gml_GlobalScript_scr_rurusface
Runner: Executing global init script: gml_GlobalScript_button1_p
Runner: Executing global init script: gml_GlobalScript_button2_p
Runner: Executing global init script: gml_GlobalScript_button2_h
Runner: Executing global init script: gml_GlobalScript_button3_p
Runner: Executing global init script: gml_GlobalScript_button3_h
Runner: Executing global init script: gml_GlobalScript_down_p
Runner: Executing global init script: gml_GlobalScript_down_h
Runner: Executing global init script: gml_GlobalScript_left_p
Runner: Executing global init script: gml_GlobalScript_left_h
Runner: Executing global init script: gml_GlobalScript_right_p
Runner: Executing global init script: gml_GlobalScript_right_h
Runner: Executing global init script: gml_GlobalScript_up_p
Runner: Executing global init script: gml_GlobalScript_up_h
Runner: Executing global init script: gml_GlobalScript_scr_gamepad_axis_check
Runner: Executing global init script: gml_GlobalScript_scr_controls_default
Runner: Executing global init script: gml_GlobalScript_scr_get_input_name
Runner: Executing global init script: gml_GlobalScript_scr_ascii_input_names
Runner: Executing global init script: gml_GlobalScript_scr_gamestart
Runner: Executing global init script: gml_GlobalScript_scr_shopmorearrow
Runner: Executing global init script: gml_GlobalScript_scr_shopmenu
Runner: Executing global init script: gml_GlobalScript_scr_outside_camera
Runner: Executing global init script: gml_GlobalScript_scr_havechar
Runner: Executing global init script: gml_GlobalScript_scr_makecaterpillar
Runner: Executing global init script: gml_GlobalScript_scr_closemenu
Runner: Executing global init script: gml_GlobalScript_scr_move_to_point_over_time
Runner: Executing global init script: gml_GlobalScript_game_restart_true
Runner: Executing global init script: gml_GlobalScript_scr_load
Runner: Executing global init script: gml_GlobalScript_scr_tempload
Runner: Executing global init script: gml_GlobalScript_scr_tempsave
Runner: Executing global init script: gml_GlobalScript_scr_saveprocess_ut
Runner: Executing global init script: gml_GlobalScript_scr_save
Runner: Executing global init script: gml_GlobalScript_scr_saveprocess
Runner: Executing global init script: gml_GlobalScript_scr_roomname
Runner: Executing global init script: gml_GlobalScript_d_ex
Runner: Executing global init script: gml_GlobalScript_scr_halt
Runner: Executing global init script: gml_GlobalScript_scr_debug
Runner: Executing global init script: gml_GlobalScript_scr_pan_to_obj
Runner: Executing global init script: gml_GlobalScript_scr_pan
Runner: Executing global init script: gml_GlobalScript_scr_marker
Runner: Executing global init script: gml_GlobalScript_scr_dark_marker
Runner: Executing global init script: gml_GlobalScript_scr_depth
Runner: Executing global init script: gml_GlobalScript_scr_dogcheck
Runner: Executing global init script: gml_GlobalScript_UNUSED
Runner: Executing global init script: gml_GlobalScript_draw_background_ext
Runner: Executing global init script: gml_GlobalScript_draw_background_part_ext
Runner: Executing global init script: gml_GlobalScript_draw_background_tiled_ext
Runner: Executing global init script: gml_GlobalScript_ossafe_shapes
Runner: Executing global init script: gml_GlobalScript___background_get_colour
Runner: Executing global init script: gml_GlobalScript___background_get_colour_element
Runner: Executing global init script: gml_GlobalScript___background_set
Runner: Executing global init script: gml_GlobalScript___background_set_colour
Runner: Executing global init script: gml_GlobalScript___background_set_element
Runner: Executing global init script: gml_GlobalScript_scr_prefetch_textures
Runner: Executing global init script: gml_GlobalScript___background_set_internal
Runner: Executing global init script: gml_GlobalScript___init_background
Runner: Executing global init script: gml_GlobalScript___background_get_element
Runner: Executing global init script: gml_GlobalScript___background_get_internal
Runner: Executing global init script: gml_GlobalScript_background_get_width
Runner: Executing global init script: gml_GlobalScript_background_get_height
Runner: Executing global init script: gml_GlobalScript_draw_background
Runner: Executing global init script: gml_GlobalScript_d3d_set_fog
Runner: Executing global init script: gml_GlobalScript___init_d3d
Runner: Executing global init script: gml_GlobalScript_draw_set_blend_mode
Runner: Executing global init script: gml_GlobalScript_instance_create
Runner: Executing global init script: gml_GlobalScript_object_get_depth
Runner: Executing global init script: gml_GlobalScript_tile_get_ids_at_depth
Runner: Executing global init script: gml_GlobalScript_tile_layer_hide
Runner: Executing global init script: gml_GlobalScript_tile_layer_shift
Runner: Executing global init script: gml_GlobalScript_tile_set_alpha
Runner: Executing global init script: gml_GlobalScript___view_get
Runner: Executing global init script: gml_GlobalScript___view_set
Runner: Executing global init script: gml_GlobalScript___view_set_internal
Runner: Executing global init script: gml_GlobalScript___init_view
Runner: Executing global init script: gml_GlobalScript___init_global
Runner: Executing global init script: gml_GlobalScript___global_object_depths
Runner: Executing global init script: gml_GlobalScript_scr_84_set_draw_font
Runner: Executing global init script: gml_GlobalScript_scr_84_add_menu_item
Runner: Executing global init script: gml_GlobalScript_scr_84_debug
Runner: Executing global init script: gml_GlobalScript_scr_84_draw_menu
Runner: Executing global init script: gml_GlobalScript_scr_84_get_font
Runner: Executing global init script: gml_GlobalScript_scr_84_get_lang_string
Runner: Executing global init script: gml_GlobalScript_scr_84_get_subst_string
Runner: Executing global init script: gml_GlobalScript_scr_84_init_localization
Runner: Executing global init script: gml_GlobalScript_scr_84_load_map_json
Runner: Executing global init script: gml_GlobalScript_scr_84_pop
Runner: Executing global init script: gml_GlobalScript_scr_84_push
Runner: Executing global init script: gml_GlobalScript_scr_84_lang_load
Runner: Executing global init script: gml_GlobalScript_scr_84_name_input_setup
Runner: Executing global init script: gml_GlobalScript_scr_84_draw_text_outline
Runner: Executing global init script: gml_GlobalScript_scr_84_get_sprite
Runner: Executing global init script: gml_GlobalScript_string_to_hiragana
Runner: Executing global init script: gml_GlobalScript_scr_84_get_sound
Runner: Executing global init script: gml_GlobalScript_scr_84_is_digit
Runner: Executing global init script: gml_GlobalScript_scr_84_load_ini
Runner: Executing global init script: gml_GlobalScript_string_to_ascii_from_full_width
Runner: Executing global init script: gml_GlobalScript_scr_change_language
Runner: Executing global init script: gml_GlobalScript_ossafe_file_delete
Runner: Executing global init script: gml_GlobalScript_ossafe_file_exists
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_close
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_eof
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_open_read
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_open_write
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_read_real
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_read_string
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_readln
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_write_real
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_write_string
Runner: Executing global init script: gml_GlobalScript_ossafe_file_text_writeln
Runner: Executing global init script: gml_GlobalScript_ossafe_fill_rectangle
Runner: Executing global init script: gml_GlobalScript_ossafe_game_end
Runner: Executing global init script: gml_GlobalScript_ossafe_ini_close
Runner: Executing global init script: gml_GlobalScript_ossafe_ini_open
Runner: Executing global init script: gml_GlobalScript_ossafe_savedata_save
Runner: Executing global init script: gml_GlobalScript_ossafe_savedata_load
Runner: Executing global init script: gml_GlobalScript_strlen
Runner: Executing global init script: gml_GlobalScript_substr
Runner: Executing global init script: gml_GlobalScript_texture_set_interpolation
Runner: Executing global init script: gml_GlobalScript_scr_draw_screen_border
Runner: Executing global init script: gml_GlobalScript_scr_enable_screen_border
Runner: Executing global init script: gml_GlobalScript_scr_draw_background_ps4
Runner: Executing global init script: gml_GlobalScript_draw_background_stretched
Runner: Executing global init script: gml_GlobalScript_draw_enable_alphablend
Runner: Executing global init script: gml_GlobalScript_scr_ds_list_write
Runner: Executing global init script: gml_GlobalScript_scr_ds_list_read
Runner: Executing global init script: gml_GlobalScript_scr_chapterswitch
Runner: Executing global init script: gml_GlobalScript_dsmapToStruct
Runner: Executing global init script: gml_GlobalScript_scr_timedisp
Runner: Executing global init script: gml_GlobalScript_scr_damage_cache
Runner: Executing global init script: gml_GlobalScript_0
Runner: Executing global init script: gml_GlobalScript_1
Runner: Executing global init script: gml_GlobalScript_2
Runner load: global init scripts          phase=    0.00 ms total=    0.00 ms
Runner: Initializing room: ROOM_INITIALIZE (index 0)
Runner load: room payload load            phase=    0.00 ms total=    0.00 ms
Runner load: instance create pass1        phase=    0.00 ms total=    0.00 ms
Runner load: layer/depth setup            phase=    0.00 ms total=    0.00 ms
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: @@NewGMLObject@@ method has invalid codeIndex -1
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
VM: [gml_Script_anon_gml_Object_obj_event_manager_Create_0_4720_gml_Object_obj_event_manager_Create_0] READ var 'index' on object index 0 (obj_switchAsyncHelper) but no instance found (varType=STACKTOP, isArray=false, originalInstanceType=0, hasInstanceType=true, varID=7542)
